isolate_id	run	clade	fluconazole_mic	genome_fasta
3758	SRR14802923	III	4	D:\dna_decode_cache\fungal_g1\assemblies\3758.fna
3561_77	SRR14802927	III	16	D:\dna_decode_cache\fungal_g1\assemblies\3561_77.fna
6057	SRR14802849	III	16	D:\dna_decode_cache\fungal_g1\assemblies\6057.fna
2566	SRR14802841	III	16	D:\dna_decode_cache\fungal_g1\assemblies\2566.fna
4591	SRR14802917	III	16	D:\dna_decode_cache\fungal_g1\assemblies\4591.fna
5268	SRR14802893	III	16	D:\dna_decode_cache\fungal_g1\assemblies\5268.fna
2547_51	SRR14802842	III	32	D:\dna_decode_cache\fungal_g1\assemblies\2547_51.fna
2546_62	SRR14802843	III	32	D:\dna_decode_cache\fungal_g1\assemblies\2546_62.fna
4926_60	SRR14802906	III	32	D:\dna_decode_cache\fungal_g1\assemblies\4926_60.fna
2859_37	SRR14802835	III	64	D:\dna_decode_cache\fungal_g1\assemblies\2859_37.fna
4928_61	SRR14802905	III	64	D:\dna_decode_cache\fungal_g1\assemblies\4928_61.fna
5624_2	SRR14802880	III	64	D:\dna_decode_cache\fungal_g1\assemblies\5624_2.fna
6241_97	SRR14802872	III	128	D:\dna_decode_cache\fungal_g1\assemblies\6241_97.fna
3406_32	SRR14802933	III	128	D:\dna_decode_cache\fungal_g1\assemblies\3406_32.fna
4603_48	SRR14802916	III	128	D:\dna_decode_cache\fungal_g1\assemblies\4603_48.fna
4845_72	SRR14802912	III	128	D:\dna_decode_cache\fungal_g1\assemblies\4845_72.fna
5006_96	SRR14802900	III	128	D:\dna_decode_cache\fungal_g1\assemblies\5006_96.fna
5625_3	SRR14802879	III	128	D:\dna_decode_cache\fungal_g1\assemblies\5625_3.fna
5714	SRR14802875	III	256	D:\dna_decode_cache\fungal_g1\assemblies\5714.fna
5734_5	SRR14802877	III	256	D:\dna_decode_cache\fungal_g1\assemblies\5734_5.fna
4934_87	SRR14802903	I	128	D:\dna_decode_cache\fungal_g1\assemblies\4934_87.fna
4000	SRR14802844	I	128	D:\dna_decode_cache\fungal_g1\assemblies\4000.fna
5116_74	SRR14802898	I	128	D:\dna_decode_cache\fungal_g1\assemblies\5116_74.fna
5233_75	SRR14802894	I	256	D:\dna_decode_cache\fungal_g1\assemblies\5233_75.fna
